fault_id,name,category,intended_control_family,detected_by,other_controls_broken,engine_refused,layer4_legs_posted,measures_moved,status,rationale
F4-01,Overlapping ownership effective dates,OWNERSHIP,P4-OWN,P4-OWN-03,P4-FX-08;P4-LAY-02;P4-BS-01;P4-CF-01,,0,0,DETECTED,"two register rows live at once, so the percentage for a month is ambiguous and the engine would silently pick one"
F4-02,Circular ownership,OWNERSHIP,P4-OWN,P4-OWN-02;P4-OWN-05,P4-FX-08;P4-LAY-02;P4-BS-01;P4-CF-01,,0,0,DETECTED,an entity in its own ownership path consolidates itself; the recursive walk must refuse rather than loop
F4-03,Ownership register disagrees with the investment register,OWNERSHIP,P4-OWN,P4-OWN-05,,,0,0,DETECTED,"a subsidiary consolidated on a relationship nobody paid for. Both registers are internally consistent, so only the comparison between them finds it"
F4-04,Ownership percentages that do not complement,OWNERSHIP,P4-OWN,P4-OWN-04,,,0,0,DETECTED,group share plus non-controlling share must be one; 0.80 and 0.10 leaves a tenth of the subsidiary owned by nobody
F4-05,Equity retranslated at the closing rate,FX,P4-FX,P4-FX-04,,,0,0,DETECTED,"share capital does not move because a spot rate moved (FX-P03). Retranslating it makes CTA a plug, and the balance sheet still balances around it"
F4-06,Missing opening translation base,FX,P4-FX,P4-FX-02;P4-FX-04,P4-IC-01;P4-IC-03;P4-INV-02;P4-INV-03,,0,0,DETECTED,an entity with no registered acquisition-date rate (FX-P16) would translate its opening balance sheet at whatever the join happened to leave behind
F4-07,Wrong historical rate on an opening balance sheet,FX,P4-FX,P4-FX-04,,,0,0,DETECTED,a plausible but wrong rate translates cleanly and balances cleanly. Only the independent CTA expectation disagrees
F02,One-sided intercompany difference (deferred from Phase 3),INTERCOMPANY,P4-IC,P4-IC-01;P4-IC-03;P4-IC-04,,,0,0,DETECTED,"USD 45,000 removed from one side of a pair. Both trial balances still close, the account maps, the dimension resolves -- the difference exists only when the two sides are put side by side, which is what the elimination engine does"
F4-08,Register relationship missing an acquisition schedule,INVESTMENT,P4-INV,P4-INV-01;P4-INV-02,,,0,0,DETECTED,"the control walks the investment REGISTER, so a relationship with no schedule fails. A control walking the schedules could never see it"
F4-09,Investment eliminated before its acquisition date,INVESTMENT,P4-INV,P4-INV-02;P4-INV-03,,,0,0,DETECTED,"eliminating a holding in months the group did not own it removes equity that was still outside the group, and every total remains plausible"
F4-10,Amortisation started at the beginning of the acquisition year,PPA,P4-INT,P4-INT-02,,,0,0,DETECTED,"a whole-year charge on a mid-year acquisition. It is small, it is plausible, and it is wrong by exactly the months before completion"
F4-11,Opening accumulated amortisation greater than cost,PPA,P4-INT,P4-INT-03,,,0,0,DETECTED,"an asset amortised past its own cost carries a negative net book value that the balance sheet absorbs without complaint, because the offsetting side is a real expense and the entry balances"
F4-12,Intercompany holding dropped from the unrealised profit run,PUP,P4-PUP,P4-PUP-02,,,0,0,DETECTED,"the control iterates the holdings population, so a transaction the calculation never saw fails. A control reconciling only what was calculated cannot"
F4-13,Wrong quantity of intercompany stock still held,PUP,P4-PUP,P4-PUP-01,,,0,0,DETECTED,"the provision is the surviving stock at its own layer margin, so overstating what survives overstates the provision. The entry balances and the balance sheet is unmoved in total; only the independent expectation disagrees"
F4-14,Management adjustment approved by nobody,MANAGEMENT,P4-MGT,P4-MGT-02,,,96,8,DETECTED,"an adjustment carrying an APPROVED status but no approver, preparer or rationale is unattributable. It posts cleanly and balances cleanly"
F4-17,Draft management adjustment must not be posted,MANAGEMENT,SUPPRESSION_PROOF,,,,0,0,SUPPRESSED,"the opposite assertion to a detection: a DRAFT adjustment carrying a real amount must never reach layer 4 at all. Proving the gate holds is worth as much as proving a control fires, and neither proves the other"
F4-15,Balance sheet account with no cash flow category,STATEMENTS,P4-CF,P4-CF-01;P4-CF-03,,,0,0,DETECTED,the cash flow ties by construction only if the categories partition the balance sheet. An uncategorised account still ties while reporting the wrong line
F4-16,Balance sheet account mapped to two captions,STATEMENTS,P4-BS,P4-BS-01;P4-BS-02,P4-FX-04;P4-FX-05;P4-CF-01,,0,0,DETECTED,"an account presented in two captions is counted twice and the statement still balances, because both halves come from the same signed movement"
F4-MGT-LEAK,Approved layer-4 adjustment with a real amount,SEPARATION,SEPARATION_PROOF,,,,96,8,SEPARATION_PROVEN,"the approved register holds only nil presentation reclassifications, so layer 4 is empty and the two bases are numerically identical. This fixture injects a real layer-4 amount and proves the statutory basis does not move: it is the empirical half of the proof that P4-LAY-03 and P4-BAS-01 make structurally"
F4-XAR-01,"Period result presented wrongly, equity still balanced",REPORTING,P4-XAR,P4-XAR-06,,,0,0,DETECTED,"moves USD 5m from the period result into retained earnings. Total equity is untouched and the balance sheet still balances at 0.00, so every accounting control passes -- which is precisely what P4-D-01 looked like"
F4-XAR-02,EBITDA bridge sums the year including the close,REPORTING,P4-XAR,P4-XAR-02,,,0,0,DETECTED,"recomputes statutory EBITDA without excluding the year-end close, reproducing P4-D-02 exactly. The income statement is untouched and correct, so the only evidence is that the two artefacts disagree"
F4-XAR-03,An empty add-back category returns NULL,REPORTING,P4-XAR,P4-XAR-04,,,0,0,DETECTED,"the CA-030 unrealised foreign exchange add-back has no population in this window. Letting a nil FILTER stay NULL rather than coalescing it to zero voids the whole covenant expression -- and a NULL covenant metric is not a small number, it is no number at all"
F4-XAR-04,A reporting artefact shows different closing cash,REPORTING,P4-XAR,P4-XAR-10,P4-CF-01;P4-CF-02,,0,0,DETECTED,"moves closing cash in the cash flow while the consolidated fact stays correct. The accounting is right and the report is wrong, which is the whole class of defect this family exists for"
