control_id,control_name,severity,status,measured,threshold,detail
P6-SEM-00,The semantic model is available for execution,INFO,PASS,live,live,connected to Desktop on port 52197
P6-SEM-01,Every dimension key is unique over its published population,BLOCKING,PASS,0,0,a dimension with a duplicate key silently fans out every fact that joins to it
P6-SEM-02,"Every relationship resolves: no orphan key, so no blank member",BLOCKING,PASS,0,0,an unresolved key becomes a blank member in every visual that uses the dimension
P6-SEM-03,Every declared many-to-one relationship is many-to-one in the data,BLOCKING,PASS,0,0,declaring a cardinality does not make the data have it; Power BI silently promotes a broken one to many-to-many and the totals stop meaning anything
P6-SEM-04,No two tables are joined by more than one active path,BLOCKING,PASS,0,0,"the reason every business-unit path is inactive: a fact reaches Business Unit through Entity, and a second direct route would make every segment total ambiguous"
P6-SEM-05,Every inactive relationship carries a written reason,BLOCKING,PASS,5,5,an inactive relationship is a decision; an undocumented one is a mistake nobody can tell apart from a decision
P6-SEM-06,Every table carries a description a reader can use,BLOCKING,PASS,0,0,
P6-SEM-07,Every measure carries a description,BLOCKING,PASS,0,0,a measure whose meaning lives only in its name is a measure two people will read two ways
P6-SEM-08,"Every high-risk measure states its definition, source and basis",BLOCKING,PASS,0,0,the measures a reader is most likely to be challenged on are the ones that must answer for themselves
P6-SEM-09,Every measure sits in a display folder,BLOCKING,PASS,0,0,
P6-SEM-10,Every numeric measure carries a format string,BLOCKING,PASS,0,0,an unformatted measure renders at full precision and makes a report look unfinished
P6-SEM-11,"Statement captions sort by their governed order, not alphabetically",BLOCKING,PASS,12,>= 2,"a P&L in alphabetical order starts at Cost of sales, and a balance sheet in alphabetical order is not a balance sheet"
P6-SEM-12,No fact key column is left visible to a report author,BLOCKING,PASS,0,0,a visible key invites someone to drag it onto a visual and summarise it
P6-SEM-13,The model loads in Analysis Services with every declared table,BLOCKING,PASS,28,28,deployed and refreshed from the same declarations the TMDL is written from
P6-SEM-14,Every measure parses and evaluates in the engine,BLOCKING,PASS,0,0,89 measures evaluated against the live model
P6-XAR-01,Power BI [Revenue] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Revenue, year to date: DAX 278,980,889.78 vs mart 278,980,889.78"
P6-XAR-02,Power BI [Gross Profit] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Gross profit, year to date: DAX 75,980,813.59 vs mart 75,980,813.59"
P6-XAR-03,Power BI [Statutory EBITDA] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Statutory EBITDA, pinned to the statutory basis: DAX 28,100,907.83 vs mart 28,100,907.83"
P6-XAR-04,Power BI [Management Adjusted EBITDA] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Adjusted EBITDA, pinned to the management basis: DAX 31,911,102.90 vs mart 31,911,102.90"
P6-XAR-05,Power BI [EBIT] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"EBIT, year to date: DAX 15,473,409.60 vs mart 15,473,409.60"
P6-XAR-06,Power BI [Net Income] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Net income, year to date: DAX -939,022.82 vs mart -939,022.82"
P6-XAR-07,Power BI [Cash] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Cash, from the balance sheet caption: DAX 14,579,689.06 vs mart 14,579,689.06"
P6-XAR-08,Power BI [Total Assets] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Total assets: DAX 465,523,771.19 vs mart 465,523,771.19"
P6-XAR-09,Power BI [Total Equity] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Total equity: DAX 92,294,888.80 vs mart 92,294,888.80"
P6-XAR-10,Power BI [Operating Cash Flow] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Operating cash flow for the month: DAX 4,985,102.78 vs mart 4,985,102.78"
P6-XAR-11,Power BI [Closing Cash] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Closing cash on the cash flow statement: DAX 14,579,689.06 vs mart 14,579,689.06"
P6-XAR-12,Power BI [Gross Debt] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Gross debt: DAX 258,339,019.81 vs mart 258,339,019.81"
P6-XAR-13,Power BI [Covenant Net Debt] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Covenant net debt: DAX 243,759,330.75 vs mart 243,759,330.75"
P6-XAR-14,Power BI [Covenant EBITDA] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Covenant EBITDA on the rolling twelve months: DAX 57,842,615.47 vs mart 57,842,615.47"
P6-XAR-15,Power BI [Covenant Net Leverage] reconciles to the marts,BLOCKING,PASS,0.000018,0.0005,Covenant net leverage: DAX 4.21 vs mart 4.21
P6-XAR-16,Power BI [Closing FTE] reconciles to the marts,BLOCKING,PASS,0.000000,0.05,"Closing full-time equivalents: DAX 2,477.40 vs mart 2,477.40"
